iou,dice,accuracy,precision,recall,f1,threshold,range,balanced_score
0.3198941648006439,0.48472699522972107,0.8063798546791077,0.4474017322063446,0.5288470387458801,0.4847265284914091,0.55,fine,0.4847270250108855
0.31821632385253906,0.482798308134079,0.8111347556114197,0.456834614276886,0.5118911266326904,0.4827978324773712,0.555,extra_fine,0.4827983308618077
0.3164169192314148,0.4807244837284088,0.8157272934913635,0.4669713079929352,0.49531230330467224,0.480723959260412,0.56,fine,0.48072445882618836
0.3164169192314148,0.4807244837284088,0.8157272934913635,0.4669713079929352,0.49531230330467224,0.480723959260412,0.5600000000000003,medium,0.48072445882618836
0.3136361241340637,0.4775083661079407,0.8199382424354553,0.47722065448760986,0.47779640555381775,0.47750785646991717,0.5650000000000001,extra_fine,0.4775083564692119
0.3110998272895813,0.4745631515979767,0.8240917921066284,0.4886164963245392,0.46129560470581055,0.4745626560930258,0.5700000000000001,fine,0.47456315567888807
0.3075322210788727,0.47040098905563354,0.8278659582138062,0.5002380609512329,0.44392287731170654,0.47040049033719195,0.5750000000000001,extra_fine,0.4704009885578568
0.30376526713371277,0.46598154306411743,0.8315139412879944,0.5129822492599487,0.42687058448791504,0.46598103813718117,0.5800000000000001,fine,0.4659815339393126
0.30376526713371277,0.46598154306411743,0.8315139412879944,0.5129822492599487,0.42687058448791504,0.46598103813718117,0.5800000000000003,medium,0.4659815339393126
0.2932398319244385,0.45349645614624023,0.838711678981781,0.5444125533103943,0.3886007070541382,0.45349596921039753,0.5900000000000001,fine,0.45349645526562143
0.27681270241737366,0.4335995614528656,0.8455590605735779,0.5884189605712891,0.343279093503952,0.4335990822399988,0.6,coarse,0.43359954762583963
0.27681270241737366,0.4335995614528656,0.8455590605735779,0.5884189605712891,0.343279093503952,0.4335990822399988,0.6000000000000001,fine,0.43359954762583963
0.27681270241737366,0.4335995614528656,0.8455590605735779,0.5884189605712891,0.343279093503952,0.4335990822399988,0.6000000000000003,medium,0.43359954762583963
0.25352907180786133,0.4045045077800751,0.8506943583488464,0.6458330154418945,0.2944699227809906,0.40450409799625875,0.6100000000000001,fine,0.40450452818112964
0.22936533391475677,0.3731442987918854,0.853469729423523,0.7085906863212585,0.2532540261745453,0.3731439291962866,0.6200000000000001,fine,0.3731443171424117
0.22936533391475677,0.3731442987918854,0.853469729423523,0.7085906863212585,0.2532540261745453,0.3731439291962866,0.6200000000000003,medium,0.3731443171424117
0.21049034595489502,0.34777700901031494,0.8550094962120056,0.7716457843780518,0.22447292506694794,0.3477766471088676,0.6300000000000001,fine,0.3477769962405964
0.19390150904655457,0.3248199224472046,0.8549699783325195,0.8190118670463562,0.20258194208145142,0.3248196117121208,0.6400000000000001,fine,0.3248199296658993
0.19390150904655457,0.3248199224472046,0.8549699783325195,0.8190118670463562,0.20258194208145142,0.3248196117121208,0.6400000000000003,medium,0.3248199296658993
0.1794046312570572,0.30422914028167725,0.8543235063552856,0.8569017052650452,0.18494553864002228,0.3042288516949077,0.6500000000000001,fine,0.3042291437039843
0.16754260659217834,0.2870004177093506,0.8533623218536377,0.8821267485618591,0.17137940227985382,0.2870001495154854,0.6600000000000004,medium,0.28700042193928593
0.15285485982894897,0.2651762366294861,0.852026104927063,0.9154236316680908,0.15504445135593414,0.2651759999070435,0.6800000000000004,medium,0.26517624762671316
0.14467988908290863,0.25278663635253906,0.8511669635772705,0.9332120418548584,0.14619363844394684,0.2527863989144474,0.7000000000000001,coarse,0.2527866331048018
0.14467988908290863,0.25278663635253906,0.8511669635772705,0.9332120418548584,0.14619363844394684,0.2527863989144474,0.7000000000000004,medium,0.2527866331048018
0.13732333481311798,0.241485133767128,0.8501594066619873,0.9413589835166931,0.13850818574428558,0.24148489353142663,0.7200000000000004,medium,0.2414851171560541
0.1311042457818985,0.231816366314888,0.8492514491081238,0.9464247822761536,0.13208451867103577,0.23181616664300503,0.7400000000000004,medium,0.23181638158428225
0.12500493228435516,0.22223001718521118,0.848366916179657,0.9521310925483704,0.12579551339149475,0.2222298027123891,0.7600000000000005,medium,0.22223000887652075
0.11879145354032516,0.21235673129558563,0.8474704623222351,0.9587564468383789,0.11940161138772964,0.21235654202864154,0.7800000000000005,medium,0.21235673899098892
0.1114344671368599,0.20052368938922882,0.8463684320449829,0.965345561504364,0.1118820309638977,0.20052349660645424,0.8,coarse,0.20052368275420795
0.06344451755285263,0.1193189024925232,0.8387121558189392,0.9993523955345154,0.06344712525606155,0.11931879101312112,0.9,coarse,0.11931890328151104
